Location,Local,Latitude,Longitude,Media 01,URL 01,Lang 01,Media 02,URL 02,Lang 02,Media 03,URL 03,Lang 03,Media 04,URL 04,Lang 04,Media 05,URL 05,Lang 05,Media 06,URL 06,Lang 06,Media 07,URL 07,Lang 07,Media 08,URL 08,Lang 08,Media 09,URL 09,Lang 09,Media 10,URL 10,Lang 10,Media 11,URL 11,Lang 11,Media 12,URL 12,Lang 12,Media 13,URL 13,Lang 13,Media 14,URL 14,Lang 14,Media 15,URL 15,Lang 15
Tajikistan,0,38.861034,71.276093,Radio Free Europe / Radio Liberty,https://www.rferl.org/Tajikistan,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,0,-6.169028,35.088822,The Citizen,http://www.thecitizen.co.tz,EN,AllAfrica,http://allafrica.com/tanzania/,EN,AllAfrica,https://fr.allafrica.com/tanzania/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatarstan-Bashkortostan (Russia),1,55.578345,52.910156,Radio Free Europe / Radio Liberty,https://www.rferl.org/TatarstanBashkortostan,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,0,15.870032,100.992541,Bangkok Post,http://www.bangkokpost.com,EN,The Nation,http://www.nationmultimedia.com/,EN,Khaosod English,http://www.khaosodenglish.com/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,0,8.619543,0.824782,AllAfrica,http://allafrica.com/togo/,EN,AllAfrica,https://fr.allafrica.com/togo/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,0,35.371247,9.51416,AllAfrica,http://allafrica.com/tunisia/,EN,AllAfrica,https://fr.allafrica.com/tunisia/,FR,Tunisie numérique,https://www.tunisienumerique.com,FR,Radio Mosaïque FM,https://www.mosaiquefm.net/fr/actualites/actualite-national-tunisie/1/2,FR,Kapitalis,http://kapitalis.com/tunisie/,FR,Agence Tunis Afrique Presse,http://www.tap.info.tn/fr,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,0,38.963745,35.243322,Independent Balkan News Agency,https://balkaneu.com//c/turkey/,EN,Hürriyet,http://www.hurriyetdailynews.com/,EN,Anadolu Agency,http://aa.com.tr/en,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,0,38.969719,59.556278,Chronicles of Turkmenistan,https://en.hronikatm.com,EN,Radio Free Europe / Radio Liberty,https://www.rferl.org/Turkmenistan,EN,Turkmenistan Today,http://tdh.gov.tm/en/,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0,1.696727,32.255859,Daily Monitor,http://www.monitor.co.ug,EN,New Vision,http://www.newvision.co.ug,EN,AllAfrica,http://allafrica.com/uganda/,EN,AllAfrica,https://fr.allafrica.com/uganda/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,0,48.379433,31.16558,Kyiv Post,http://www.kyivpost.com,EN,Unian,https://www.unian.info/,EN,Ukraine World,https://ukraineworld.org/,EN,Radio Free Europe / Radio Liberty,https://www.rferl.org/Ukraine,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
