Location,Local,Latitude,Longitude,Media 01,URL 01,Lang 01,Media 02,URL 02,Lang 02,Media 03,URL 03,Lang 03,Media 04,URL 04,Lang 04,Media 05,URL 05,Lang 05,Media 06,URL 06,Lang 06,Media 07,URL 07,Lang 07,Media 08,URL 08,Lang 08,Media 09,URL 09,Lang 09,Media 10,URL 10,Lang 10,Media 11,URL 11,Lang 11,Media 12,URL 12,Lang 12,Media 13,URL 13,Lang 13,Media 14,URL 14,Lang 14,Media 15,URL 15,Lang 15
Egypt,0,26.820553,30.802498,Ahramonline,http://english.ahram.org.eg,EN,Daily News Egypt,http://www.dailynewsegypt.com,EN,Copts United,http://www.coptsunited.com/,EN,Mada Masr,http://madamasr.com/en,EN,AllAfrica,http://allafrica.com/egypt/,EN,AllAfrica,http://fr.allafrica.com/egypt/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0,1.650801,10.267895,AllAfrica,http://allafrica.com/equatorialguinea/,EN,AllAfrica,http://fr.allafrica.com/equatorialguinea/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0,15.252389,39.375,AllAfrica,http://allafrica.com/eritrea/,EN,AllAfrica,http://fr.allafrica.com/eritrea/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,58.7523778,25.3319078,ERR,https://news.err.ee,EN,The Baltic Times,https://www.baltictimes.com/news_estonia/,EN,Postimees,https://news.postimees.ee,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,7.449624,39.594727,Addis Standard,https://addisstandard.com,EN,AllAfrica,http://allafrica.com/ethiopia/,EN,AllAfrica,http://fr.allafrica.com/ethiopia/,FR,Ethiopian News Agency,http://www.ena.et/en/,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0,61.92411,25.748151,Yle Uutiset,http://yle.fi/uutiset/news/,EN,Helsinki Times,http://www.helsinkitimes.fi,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,0,46.227638,2.213749,The Local France,http://www.thelocal.fr/,EN,The Connexion,http://www.connexionfrance.com/index.php,EN,RFI,http://www.rfi.fr/en/,EN,France 24,https://www.france24.com/en/france/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,-0.803689,11.609444,AllAfrica,http://allafrica.com/gabon/,EN,AllAfrica,https://fr.allafrica.com/gabon/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,0,13.443182,-15.310139,AllAfrica,http://allafrica.com/gambia/,EN,AllAfrica,https://fr.allafrica.com/gambia/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0,42.277309,43.395996,Radio Free Europe / Radio Liberty,https://www.rferl.org/Georgia,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,0,51.165691,10.451526,Spiegel Online,https://www.spiegel.de/international/,EN,Deutsche Welle,https://www.dw.com/en/top-stories/s-9097,EN,The Local Germany,http://www.thelocal.de,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,0,7.946527,-1.023194,AllAfrica,http://allafrica.com/ghana/,EN,AllAfrica,https://fr.allafrica.com/ghana/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,39.074208,21.824312,Ekathimerini,http://www.ekathimerini.com/,EN,ANA-MPA (Athens-Macedonian News Agency),https://www.amna.gr/en,EN,Independent Balkan News Agency,https://balkaneu.com//c/greece/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,9.945587,-9.696645,AllAfrica,http://allafrica.com/guinea/,EN,AllAfrica,https://fr.allafrica.com/guinea/,FR,Ledjely,http://www.ledjely.com,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Bissau,0,11.803749,-15.180413,AllAfrica,http://allafrica.com/guineabissau/,EN,AllAfrica,https://fr.allafrica.com/guineabissau/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,0,19.1399952,-72.3570972,Le Nouvelliste,https://lenouvelliste.com,FR,Haiti Standard,https://haitistandard.com/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong (China),1,22.396428,114.109497,South China Morning Post,http://www.scmp.com,EN,Hong Kong Free Press,https://hongkongfp.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0,47.162494,19.503304,Hungary Today,http://hungarytoday.hu,EN,Valasz Online,http://www.valaszonline.hu/category/in-english/,EN,Dailynews Hungary,http://dailynewshungary.com,EN,Le Courrier d'Europe centrale,http://courrierdeuropecentrale.fr,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0,64.963051,-18.520835,The Reykjavik Grapevine,http://grapevine.is,EN,mbl.is Iceland Monitor,http://icelandmonitor.mbl.is,EN,Iceland Review,http://icelandreview.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,0,21.093684,78.96288,The Times of India,http://timesofindia.indiatimes.com,EN,Scroll.in,http://scroll.in,EN,The Hindu,http://www.thehindu.com,EN,India Today,http://indiatoday.intoday.in,EN,The Indian Express,http://www.indianexpress.com,EN,Firstpost,http://www.firstpost.com,EN,Factly,http://factly.in,EN,Rediff Localnews,http://localnews.rediff.com/,EN,,,,,,,,,,,,,,,,,,,,,
Indonesia,0,-6.523814081,107.432699,Rappler Indonesia,http://www.rappler.com/world/regions/asia-pacific/indonesia/english,EN,Tempo,https://en.tempo.co,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,32.427908,53.688046,Radio Free Europe / Radio Liberty,https://www.rferl.org/Iran,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraqi Kurdistan,0,36.206293,44.00887,Rudaw,http://rudaw.net/english,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0,52.865196,-7.9794599,The Irish Times,https://www.irishtimes.com/,EN,Independent.ie,https://www.independent.ie/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,0,31.36581,34.527783,The Times of Israel,http://www.timesofisrael.com/,EN,The Times of Israel,https://fr.timesofisrael.com,FR,Haaretz,http://www.haaretz.com,EN,The Jerusalem Post,http://www.jpost.com,EN,Ynetnews,http://www.ynetnews.com,EN,.+972 Magazine,http://972mag.com,EN,Globes (business news),https://en.globes.co.il/en/,EN,Israel Magazine,http://israelmagazine.co.il,FR,,,,,,,,,,,,,,,,,,,,,
Italy,0,42.279275,11.953125,The Local Italy,http://www.thelocal.it/,EN,Ansa,https://www.ansa.it/english/,EN,Corriere della Sera,http://www.corriere.it/english/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0,36.204824,138.252924,The Asahi Shimbun,http://www.asahi.com/english,EN,The Japan Times,http://www.japantimes.co.jp,EN,The Mainichi,https://mainichi.jp/english/,EN,Kyodo News,https://english.kyodonews.net,EN,Nikkei Asian Review,https://asia.nikkei.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karachi (Pakistan),1,24.893379,67.028061,Pakistan Observer,http://www.pakobserver.net/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashmir,0,31.341622,74.366078,Kashmir Times,http://www.kashmirtimes.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,48.019573,66.923684,Radio Free Europe / Radio Liberty,https://www.rferl.org/Kazakhstan,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0,-0.023559,37.906193,Standard,http://www.standardmedia.co.ke,EN,Daily Nation,http://www.nation.co.ke,EN,AllAfrica,http://allafrica.com/kenya/,EN,AllAfrica,https://fr.allafrica.com/kenya/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,0,42.602636,20.902977,Balkan Insight,https://balkaninsight.com/kosovo-home/,EN,Independent Balkan News Agency,https://balkaneu.com//c/kosovo/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0,41.20438,74.766098,Radio Free Europe / Radio Liberty,https://www.rferl.org/Kyrgyzstan,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,0,56.8406494,24.7537645,The Baltic Times,https://www.baltictimes.com/news_latvia/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,0,33.854721,35.662285,The Daily Star,http://www.dailystar.com.lb,EN,L'Orient Le Jour,http://www.lorientlejour.com,FR,Agence nationale de l'Information / National News Agency,http://nna-leb.gov.lb/fr,FR – gouv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0,-29.609988,28.233608,AllAfrica,http://allafrica.com/lesotho/,EN,AllAfrica,https://fr.allafrica.com/lesotho/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0,6.428055,-9.429499,AllAfrica,http://allafrica.com/liberia/,EN,AllAfrica,https://fr.allafrica.com/liberia/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,0,26.3351,17.228331,Al Jazeera,http://www.aljazeera.com/category/country/libya,EN,AllAfrica,http://allafrica.com/libya/,EN,AllAfrica,https://fr.allafrica.com/libya/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0,55.3500003,23.7499997,LRT English,https://www.lrt.lt/en/news-in-english,EN,The Baltic Times,https://www.baltictimes.com/news_lithuania/,EN,Delfi.en,https://en.delfi.lt,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles (United States),1,34.052234,-118.243685,Los Angeles Times,http://www.latimes.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,0,41.608635,22.245275,Independent Balkan News Agency,https://balkaneu.com//c/fyromacedonia/,EN,Balkan Insight,https://balkaninsight.com/macedonia-home/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0,-18.766947,46.869107,AllAfrica,http://allafrica.com/madagascar/,EN,AllAfrica,https://fr.allafrica.com/madagascar/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,-13.325485,33.969727,AllAfrica,http://allafrica.com/malawi/,EN,AllAfrica,https://fr.allafrica.com/malawi/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0,4.210484,101.975766,Bernama,http://www.bernama.com,EN,The Star,http://thestar.com.my,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,16.720385,-2.636719,AllAfrica,http://allafrica.com/mali/,EN,AllAfrica,https://fr.allafrica.com/mali/,FR,Maliactu,http://maliactu.net,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0,35.929093,14.359131,MaltaToday,http://www.maltatoday.com.mt/en/home,EN,Times of Malta,http://www.timesofmalta.com/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,21.00789,-10.440835,AllAfrica,http://allafrica.com/mauritania/,EN,AllAfrica,https://fr.allafrica.com/mauritania/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0,-20.348404,57.552152,AllAfrica,http://allafrica.com/mauritius/,EN,AllAfrica,https://fr.allafrica.com/mauritius/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne (Australia),1,-37.814107,144.96328,The Age,http://www.theage.com.au,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,23.634501,-102.552784,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14091,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (United States),1,25.788969,-80.226439,The Miami Herald,http://www.miamiherald.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0,47.411631,28.369885,Radio Free Europe / Radio Liberty,https://www.rferl.org/Moldova,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,0,42.808678,19.07439,Balkan Insight,https://balkaninsight.com/montenegro-home/,EN,Independent Balkan News Agency,https://balkaneu.com//c/montenegro/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal (Canada),1,45.4972159,-73.6103642,Le Devoir,https://www.ledevoir.com,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,31.16581,-6.943359,AllAfrica,http://allafrica.com/morocco/,EN,AllAfrica,https://fr.allafrica.com/morocco/,FR,Telquel,https://telquel.ma/,FR,Le 360 Afrique,http://afrique.le360.ma/maroc,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,-18.229351,34.980469,AllAfrica,http://allafrica.com/mozambique/,EN,AllAfrica,https://fr.allafrica.com/mozambique/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,-22.95764,18.49041,AllAfrica,http://allafrica.com/namibia/,EN,AllAfrica,https://fr.allafrica.com/namibia/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,28.394857,84.124008,Nepali Times,http://nepalitimes.com,EN,The Kathmandu Post,https://kathmandupost.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,0,52.132633,5.291266,NL Times,https://nltimes.nl,EN,DutchNews,https://www.dutchnews.nl,EN,DutchReview,https://dutchreview.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York (United States),1,40.714353,-74.305973,The New York Times,http://www.nytimes.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,12.865416,-85.207229,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=23558,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,17.607789,8.081666,AllAfrica,http://allafrica.com/niger/,EN,AllAfrica,https://fr.allafrica.com/niger/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,9.081999,8.675277,The Guardian,https://guardian.ng/,EN,The Nation,https://thenationonlineng.net/,EN,This Day,https://www.thisdaylive.com/,EN,Premium Times,https://www.premiumtimesng.com/,EN,Daily Post,https://dailypost.ng/,EN,Daily Trust,https://dailytrust.com/,EN,Nigerian Tribune,https://tribuneonlineng.com/,EN,The Cable,https://www.thecable.ng/,EN,Sahara Reporters,http://saharareporters.com,EN,AllAfrica,http://allafrica.com/nigeria/,EN,AllAfrica,https://fr.allafrica.com/nigeria/,FR,,,,,,,,,,,,
North Caucasus,0,43.585181,45,Radio Free Europe / Radio Liberty,https://www.rferl.org/NorthCaucasus,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,0,40.339852,127.510093,NK News,http://www.nknews.org,EN,Daily NK,https://www.dailynk.com/english/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,0,60.472024,8.468946,The Local Norway,http://www.thelocal.no,EN,Norway Today,https://norwaytoday.info/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa (Canada),1,45.421106,-75.690308,Ottawa Citizen,https://ottawacitizen.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,0,30.375321,70.345116,Dawn,http://dawn.com,EN,The Express Tribune,https://tribune.com.pk,EN,Pakistan Today,http://www.pakistantoday.com.pk/,EN,The Nation,http://www.nation.com.pk/,EN,Ary News,https://arynews.tv/en/,EN,The News International,https://www.thenews.com.pk,EN,The Frontier Post,http://www.thefrontierpost.com,EN,Radio Free Europe / Radio Liberty,https://www.rferl.org/Pakistan,EN,,,,,,,,,,,,,,,,,,,,,
Paraguay,0,-23.3165935,-58.1693445,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14088,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0,-10.833306,-74.707031,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14095,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,0,12.879721,122.274017,Rappler,http://www.rappler.com,EN,GMA News TV,http://www.gmanetwork.com/news/,EN,ABS-CBN,https://news.abs-cbn.com,EN,Lepetitjournal.com Philippines,https://lepetitjournal.com/manille/actualites,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,51.919438,19.145136,Radio Poland,https://www.polskieradio.pl/395,EN,Notes from Poland,https://notesfrompoland.com/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0,39.399872,-8.224454,The Portugal News,https://www.theportugalnews.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
